"prefix"	"polarity"	"rt"	"formula"	"Compound"	"poolsize_Cotyledon"	"poolsize_EA"
"P012"	"pos"	19.58	"C42H82NO8P"	"PC(34:1) "	0.541038811	0.395387818
"P013"	"pos"	18.46	"C42H80NO8P"	"PC(34:2) "	3.826369584	8.273470364
"P014"	"pos"	17.45	"C42H78NO8P"	"PC(34:3) "	2.843307627	6.160568677
"P015"	"pos"	16.33	"C42H76NO8P"	"PC(34:4) "	0.030233147	0.080102649
"P020"	"pos"	19.9	"C44H84NO8P"	"PC(36:2) "	1.417189483	0.496997673
"P021"	"pos"	18.83	"C44H82NO8P"	"PC(36:3) "	4.278838656	3.102635828
"P022"	"pos"	17.72	"C44H80NO8P"	"PC(36:4) "	7.570852558	10.16064214
"P023"	"pos"	16.65	"C44H78NO8P"	"PC(36:5) "	8.594121847	12.94834274
"P024"	"pos"	15.64	"C44H76NO8P"	"PC(36:6) "	5.043828118	7.979832229
"P026"	"pos"	21.12	"C46H88NO8P"	"PC(38:2) "	0.020394193	1.48542e-05
"P027"	"pos"	20.11	"C46H86NO8P"	"PC(38:3) "	0.713207375	0.274040613
"P028"	"pos"	19.1	"C46H84NO8P"	"PC(38:4) "	2.063491567	1.103781197
"P029"	"pos"	18.04	"C46H82NO8P"	"PC(38:5) "	0.990693935	1.042796966
"P030"	"pos"	17.02	"C46H80NO8P"	"PC(38:6) "	0.27647212	0.219103103
"P031"	"pos"	21.28	"C37H71NO5"	"DAG(34:2)_[M+NH3]"	1.356041706	2.339441337
"P032"	"pos"	20.48	"C37H69NO5"	"DAG(34:3)_[M+NH3]"	1.229071185	1.869991846
"P034"	"pos"	22.42	"C39H75NO5"	"DAG(36:2)_[M+NH3]"	0.896555144	0.27792615
"P035"	"pos"	21.44	"C39H73NO5"	"DAG(36:3)_[M+NH3]"	2.455141166	1.218945525
"P036"	"pos"	20.63	"C39H71NO5"	"DAG(36:4)_[M+NH3]"	4.224394168	3.706606487
"P037"	"pos"	19.79	"C39H69NO5"	"DAG(36:5)_[M+NH3]"	2.975951282	9.0384483
"P038"	"pos"	18.93	"C39H67NO5"	"DAG(36:6)_[M+NH3]"	3.823992117	6.107928625
"P039"	"pos"	23.58	"C41H79NO5"	"DAG(38:2)_[M+NH3]"	0.188529102	0.029382865
"P040"	"pos"	22.95	"C41H77NO5"	"DAG(38:3)_[M+NH3]"	0.790938468	0.181982049
"P041"	"pos"	21.57	"C41H75NO5"	"DAG(38:4)_[M+NH3]"	1.388372956	0.475810036
"P042"	"pos"	20.83	"C41H73NO5"	"DAG(38:5)_[M+NH3]"	0.380516349	0.318089534
"P043"	"pos"	20.09	"C41H71NO5"	"DAG(38:6)_[M+NH3]"	0.083979853	0.157783857
