"metric","total","uniques","fetched_at"
"clones",38,28,"2025-09-23"
"views",2,2,"2025-09-23"
"clones",56,39,"2025-09-28"
"views",3,3,"2025-09-28"
"clones",66,45,"2025-10-05"
"views",2,2,"2025-10-05"
"clones",16,14,"2025-10-12"
"views",3,2,"2025-10-12"
"clones",18,13,"2025-10-19"
"views",2,1,"2025-10-19"
"clones",52,29,"2025-10-26"
"views",0,0,"2025-10-26"
"clones",45,26,"2025-11-02"
"views",0,0,"2025-11-02"
"clones",13,10,"2025-11-09"
"views",0,0,"2025-11-09"
"clones",14,10,"2025-11-16"
"views",1,1,"2025-11-16"
"clones",9,8,"2025-11-23"
"views",1,1,"2025-11-23"
"clones",13,12,"2025-11-30"
"views",15,4,"2025-11-30"
"clones",23,17,"2025-12-07"
"views",15,4,"2025-12-07"
"clones",22,17,"2025-12-14"
"views",0,0,"2025-12-14"
